MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"Real-World MPG_City","Truck","1978","-","7.6%","70.8%","13.2%","7.4%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1979","-","17.7%","61.8%","16.0%","4.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1980","-","0.6%","48.0%","37.5%","13.3%","-","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1981","-","0.0%","44.4%","35.6%","15.6%","2.3%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1982","-","0.1%","32.3%","43.7%","19.5%","3.7%","0.2%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1983","-","0.0%","36.0%","39.3%","21.6%","2.0%","0.9%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1984","-","0.8%","36.9%","40.9%","20.0%","0.9%","0.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1985","-","0.0%","35.6%","41.2%","20.3%","2.6%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1986","-","0.2%","31.5%","39.9%","25.8%","2.5%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1987","-","0.1%","25.5%","48.9%","22.7%","2.8%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1988","-","0.1%","34.3%","43.7%","20.0%","1.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1989","-","0.1%","35.2%","48.8%","15.2%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1990","-","0.5%","36.2%","49.3%","13.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1991","-","0.1%","35.0%","51.1%","13.8%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1992","-","0.1%","44.6%","45.5%","9.7%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1993","-","0.0%","40.3%","50.4%","9.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1994","-","-","47.0%","42.1%","10.9%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1995","-","-","49.8%","41.0%","9.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1996","-","-","46.8%","44.2%","9.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1997","-","-","53.5%","39.6%","7.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Truck","1998","-","-","47.3%","46.0%","6.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1976","-","-","26.4%","46.9%","12.3%","10.6%","3.2%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1977","-","0.0%","15.8%","56.8%","10.8%","8.6%","5.6%","1.0%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1978","-","0.0%","5.7%","50.2%","23.8%","10.7%","5.6%","3.4%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1979","-","0.0%","3.5%","47.6%","27.2%","14.0%","6.3%","1.0%","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1980","-","0.0%","0.0%","19.7%","39.1%","25.4%","11.8%","2.0%","1.7%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1981","-","-","0.0%","10.3%","38.0%","26.7%","16.9%","5.3%","1.7%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1982","-","0.0%","0.0%","13.1%","27.4%","29.3%","20.8%","6.6%","1.7%","0.8%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1983","-","0.0%","0.0%","11.6%","34.7%","18.8%","22.0%","9.9%","2.2%","0.6%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1984","-","0.0%","0.0%","7.9%","33.7%","24.6%","23.5%","6.7%","2.7%","0.6%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1985","-","0.0%","0.0%","0.8%","43.0%","15.1%","30.9%","7.8%","1.2%","0.9%","0.0%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1986","-","0.0%","0.0%","0.7%","28.0%","34.8%","24.2%","8.4%","1.8%","1.5%","0.2%","0.0%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1987","-","0.0%","0.0%","0.7%","25.0%","31.2%","32.0%","8.8%","0.9%","0.9%","0.3%","0.0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1988","-","0.0%","0.0%","0.5%","19.3%","35.6%","32.6%","7.9%","2.0%","1.6%","0.2%","0.0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1989","-","0.0%","0.0%","0.5%","20.6%","41.0%","28.2%","7.1%","1.1%","1.1%","-","0.3%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1990","-","-","0.0%","0.5%","17.2%","50.7%","23.4%","6.5%","1.1%","0.2%","0.0%","0.3%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1991","-","-","0.0%","0.5%","21.2%","44.2%","23.7%","7.5%","2.1%","0.1%","0.1%","0.6%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1992","-","-","0.0%","0.8%","27.6%","41.5%","20.7%","6.7%","1.7%","0.3%","0.6%","0.1%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1993","-","-","0.0%","3.4%","17.4%","46.7%","22.9%","7.1%","1.7%","0.1%","0.2%","0.5%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1994","-","-","0.0%","0.3%","24.4%","43.8%","22.7%","6.5%","1.3%","0.3%","0.1%","0.5%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1995","-","-","0.0%","1.0%","17.5%","47.8%","21.6%","9.8%","1.5%","0.4%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1996","-","-","0.0%","0.4%","17.5%","48.4%","22.4%","9.4%","1.3%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1997","-","-","0.0%","0.5%","17.4%","46.0%","24.3%","10.2%","1.2%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1998","-","-","0.0%","0.1%","15.9%","49.7%","22.1%","11.4%","0.4%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","1999","-","-","0.0%","0.1%","16.8%","54.7%","18.2%","9.7%","0.2%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2000","-","-","0.0%","0.8%","17.4%","53.9%","19.6%","7.6%","0.4%","0.0%","0.2%","-","-","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2001","-","-","0.0%","0.2%","17.1%","50.7%","21.9%","8.1%","1.6%","0.0%","0.1%","0.2%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2002","-","-","0.0%","0.2%","15.1%","50.9%","24.9%","7.3%","1.2%","0.0%","0.2%","0.3%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2003","-","-","0.0%","0.2%","15.2%","46.8%","26.2%","9.4%","1.4%","0.0%","0.2%","0.5%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2004","-","-","0.0%","0.3%","16.4%","46.1%","25.4%","9.9%","0.9%","0.1%","-","0.3%","-","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2005","-","-","0.0%","0.3%","16.9%","41.4%","26.8%","11.5%","1.1%","0.1%","-","0.3%","-","1.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2006","-","-","0.0%","0.6%","16.4%","42.1%","26.4%","11.9%","1.3%","0.0%","-","0.4%","-","1.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2007","-","-","0.0%","0.5%","14.9%","37.2%","27.2%","14.7%","2.5%","0.8%","-","0.4%","-","1.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2008","-","-","0.0%","0.5%","12.3%","41.0%","25.2%","15.5%","2.4%","0.7%","-","0.4%","-","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2009","-","-","0.0%","0.4%","6.3%","31.2%","34.8%","16.6%","7.7%","1.3%","-","0.3%","-","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2010","-","-","0.0%","0.4%","5.4%","26.0%","31.4%","28.0%","2.6%","1.4%","0.5%","0.7%","-","-","3.6%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2011","-","-","0.0%","0.2%","4.9%","28.3%","33.5%","23.9%","5.1%","0.9%","0.6%","0.4%","-","-","1.9%","0.0%","-","0.1%","-","-","-","-","-","0.0%","-","-","-","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2012","-","-","0.0%","0.2%","3.9%","18.6%","30.4%","21.4%","18.8%","1.8%","1.1%","1.1%","0.1%","-","2.0%","0.0%","0.2%","0.2%","-","-","0.0%","0.0%","0.0%","-","-","-","-","0.1%","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2013","-","-","0.0%","0.2%","2.9%","15.4%","28.8%","20.5%","24.0%","2.3%","0.7%","1.8%","0.1%","-","2.3%","-","0.1%","0.0%","0.3%","-","-","0.0%","0.1%","-","-","-","-","-","0.0%","0.0%","-","0.3%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2014","-","-","0.0%","0.1%","2.9%","15.9%","27.2%","21.5%","21.7%","5.2%","1.0%","1.5%","0.1%","0.1%","1.8%","-","0.1%","0.0%","0.3%","-","-","0.0%","0.1%","0.0%","-","0.1%","-","-","0.0%","0.0%","-","0.1%","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2015","-","-","0.0%","0.1%","3.0%","12.0%","25.1%","24.3%","25.4%","4.5%","1.3%","0.9%","0.1%","0.2%","2.2%","-","0.1%","-","0.1%","-","-","-","0.0%","-","0.1%","0.2%","-","-","0.0%","0.0%","-","0.3%","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2016","-","-","-","0.1%","2.7%","9.6%","23.8%","26.4%","24.3%","8.6%","0.8%","1.1%","0.1%","-","1.4%","-","0.1%","0.0%","-","0.0%","-","-","0.1%","0.0%","0.2%","0.2%","0.1%","0.1%","0.0%","0.0%","-","0.2%","0.1%","-","0.0%","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Car","2017","-","-","-","0.1%","2.2%","8.4%","25.7%","22.9%","25.8%","8.4%","0.6%","1.0%","0.8%","0.6%","0.9%","0.1%","0.0%","0.2%","0.0%","0.0%","0.0%","-","0.8%","0.0%","0.2%","0.2%","0.0%","0.1%","0.0%","0.0%","0.0%","0.2%","0.0%","0.3%","0.0%","-","-","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","Car","2018","-","-","0.0%","0.1%","1.7%","8.3%","22.2%","21.5%","29.1%","9.8%","0.5%","0.5%","1.2%","0.4%","0.8%","0.0%","0.0%","0.1%","0.0%","0.1%","0.0%","-","0.0%","-","0.1%","0.2%","-","0.2%","0.0%","0.0%","0.0%","0.2%","0.8%","0.1%","0.2%","-","0.8%","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","Car","2019","-","-","0.0%","0.1%","2.6%","7.3%","19.1%","23.2%","29.6%","10.5%","0.5%","0.6%","1.5%","0.4%","1.0%","0.4%","0.0%","0.0%","0.1%","0.1%","-","0.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","0.1%","0.0%","0.2%","0.1%","0.7%","0.3%","0.1%","-","0.8%","-","-","0.0%","-","-","-","-"
"2-Cycle MPG","Car","2020","-","-","0.0%","0.3%","2.6%","4.9%","17.8%","21.0%","26.3%","17.6%","1.3%","0.7%","1.0%","0.4%","0.9%","0.7%","0.0%","-","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","0.1%","-","0.0%","-","0.3%","0.0%","0.4%","0.7%","0.5%","0.7%","0.1%","-","0.0%","-","0.8%","-","-","-","-","-"
"2-Cycle MPG","Car","2021","-","-","0.0%","0.3%","3.0%","5.8%","15.2%","17.9%","29.2%","14.3%","1.3%","0.5%","1.2%","0.7%","1.3%","0.7%","0.1%","-","0.0%","0.0%","0.1%","0.1%","0.1%","-","0.3%","0.3%","0.5%","0.5%","0.2%","0.3%","1.7%","0.1%","0.2%","-","2.3%","-","0.0%","1.1%","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1975","-","2.5%","68.1%","18.4%","11.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1976","-","0.1%","63.2%","24.9%","9.9%","1.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1977","-","0.1%","53.2%","31.5%","7.2%","6.7%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1978","-","0.1%","58.6%","27.5%","5.8%","7.2%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1979","-","1.4%","55.1%","30.3%","9.1%","3.0%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1980","-","0.0%","17.9%","46.5%","21.7%","11.8%","1.5%","-","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1981","-","-","7.4%","47.6%","23.3%","14.7%","3.7%","1.9%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1982","-","-","8.3%","41.6%","26.3%","14.9%","6.3%","2.0%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1983","-","-","6.9%","36.0%","28.1%","20.9%","6.0%","1.9%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1984","-","-","7.6%","34.8%","36.2%","14.6%","5.8%","0.9%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1985","-","-","7.2%","32.6%","37.6%","17.8%","4.4%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1986","-","-","2.7%","32.9%","36.3%","22.8%","5.1%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1987","-","-","2.7%","26.5%","43.4%","22.1%","5.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1988","-","-","2.2%","37.8%","36.9%","16.2%","6.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1989","-","-","3.0%","35.8%","41.8%","16.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1990","-","-","3.4%","36.4%","43.2%","13.4%","3.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1991","-","-","1.1%","31.0%","51.9%","13.4%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1992","-","-","1.4%","41.2%","43.5%","12.9%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1993","-","-","0.2%","35.0%","49.6%","14.9%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1994","-","-","0.1%","40.6%","45.9%","13.0%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1995","-","-","0.3%","46.7%","38.4%","14.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1996","-","-","1.1%","38.2%","48.4%","12.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1997","-","-","0.0%","42.7%","47.7%","9.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1998","-","-","-","35.7%","51.6%","12.7%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","1999","-","-","-","44.0%","46.7%","9.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2000","-","-","-","39.3%","50.0%","10.7%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2001","-","-","0.1%","45.7%","45.4%","8.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2002","-","-","-","50.5%","40.6%","8.2%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2003","-","-","0.0%","45.4%","41.5%","12.7%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2004","-","-","0.0%","45.2%","43.5%","11.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2005","-","-","0.1%","40.4%","43.8%","15.5%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2006","-","-","0.0%","34.2%","48.8%","15.3%","1.1%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2007","-","-","-","27.5%","58.5%","12.7%","1.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2-Cycle MPG","Truck","2008","-","-","-","21.5%","60.1%","14.6%","3.1%","0.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
